Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Armenia	ARM	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																	59.10165485	34.64203233	16.09195402	16.09195402	17.77777778	17.58241758	21.14285714	13.68444444	15.55555556	10.98901099	34.52307692	22.9978022	31.65054945	22.69230769	127.8438949	59.32315859	54.15253108	88.00044504	66.0548495	80.9579252	129.4081178	132.0673806	118.6884916	145.5999552	330.4903674	202.5544843	202.7363106	203.1009442	203.4668919
American Samoa	ASM	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																																													
Antigua and Barbuda	ATG	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																											13	27.25	7.5	6	4.5	0.5	3.5	13.25	3	3.25	9.8475	12.53	7.9525	5.265	18.2125	5.2625	3.225	10.2725	8.2475
Australia	AUS	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		46.64923143	42.01770334	48.67514689	59.59730781	62.68801181	60.07272278	56.61041814	53.30761403	53.37801239	52.51600621	63.34988432	76.72364639	102.7603189	58.65644878	55.32021292	72.5115644	72.07533383	72.82103937	74.79073827	69.50256438	66.76823768	59.32752662	62.02576238	57.75883895	55.37160712	58.06463075	70.89937092	77.35873732	79.8789907	68.91702878	74.98328161	87.78951374	88.71273859	97.13859385	111.3916529	105.4642057	104.9200985	105.794978	102.7163899	97.31602948	102.1888219	95.4683063	93.53500258	94.48304044	83.93220211	85.59817443	89.32765838	78.0951063	60.9279254	77.03853625	68.11520907	69.42181816	72.8357217	79.6105265	79.4678592	89.08681006	89.32498179	85.87009363	84.48998659	84.29422921
Austria	AUT	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		148.9088218	172.6264128	196.8623188	209.0959565	218.8433735	134.2221535	260.3475	227.0412242	265.8952681	257.1361917	277.2173913	260.7065491	273.5726552	223.5244386	207.1230973	244.4269737	246.2230216	253.60181	264.5436638	265.1692708	254.8773402	231.7667752	266.6782488	270.1038062	268.288674	217.095205	207.6441974	216.1865569	187.9369431	212.6928471	199.7923875	185.9331476	184.6370684	175.6851722	167.6096181	168.3234043	187.3122333	175.454416	165.9850214	161.1386705	157.3280461	162.3263538	137.4187518	137.5175814	131.7027595	130.2708394	136.037064	167.182615	86.58056491	99.80642323	132.7331568	115.4136226	130.9084866	130.875934	148.7214174	137.7951268	141.0313107	133.1500584	118.5090492	128.4379144
Azerbaijan	AZE	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																	44.00117336	31.47219956	22.62705964	22.59167005	9.30076199	13.15789474	8.73072885	7.562058195	2.245836985	6.48254072	10.43378871	7.642099538	11.9747922	13.36046007	13.33894531	10.63754045	20.9375336	13.41141942	9.954885622	15.57458769	19.07650253	19.9624526	31.75203737	50.96609382	44.2146073	36.67366913	60.67989895	75.59112595	105.578482
Burundi	BDI	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS							0.132802125	0.126903553	0.125	0.256048387	0.590425532	0.848223897	0.899553571	0.624731183	1.021505376	0.803225806	0.567914439	0.805732484	1.187165775	0.967741935	1.182795699	1.182795699	1.397849462	2.975268817	1.94516129	2.506451613	3.333333333	2.795698925	2.795698925	5.053763441	2.258064516	2.258064516	5.592473118	4.133333333	3.333333333	3.191489362	2.978723404	1.052631579	3.805263158	4.135416667	3.645833333	3.58974359	1.343813387	0.304040404	1.111675127	3.546025105	3.204472843	1.821656051	2.067724868	1.864978903	3.627368421	5.635	5.7956	9.301458333	10.81514167	8.33625	14.41630833	17.751625	23.780925	20.18703333	20.18703333
Belgium	BEL	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																											326.2223558	339.4215569	337.2809524	332.3973903	325.8693587	335.0882002	224.4881517	282.0142857	324.9460432	317.8060606	328.5516812	321.3615196	304.0305998	305.4779988	294.8151636	300.8802033	300.6435294	297.9122487	295.2976182
Benin	BEN	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.642391304	0.635106383	0.442708333	0.826530612	1.1	0.72815534	2.331775701	2.714545455	3.847457627	4.75	4.24	4.6453125	3.366153846	3.444360902	1.762043796	1.428571429	0.769230769	1.324137931	0.904761905	0.574666667	1.807843137	2	3.461538462	4.688535032	7.274683544	6.804402516	5.918125	4.294409938	2.037037037	6.813003096	7.294444444	9.401840491	10.44727273	10.03235294	20.11173184	15.73384615	18.55619048	16.75866667	24.65217391	14.78991597	12.69387755	16.36666667	0.802264151	0.054716981	0.461944235	0.0132	0.2456	0.3204	6.544	9.134	4.44	10.29041923	5.002277778	8.086548148	0.133233333	9.949325	0.016396429	36.63401071	55.46367143	40.21015714
Burkina Faso	BFA	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.013653484	0.051546392	0.035914179	0.045137273	0.04631774	0.046082949	0.04587156	0.091324201	0.207084469	0.258122744	0.401818182	0.482909728	0.256268593	0.493218249	0.478850758	1.882352941	2.640384615	3.726037736	2.67037037	1.569398907	3.531182796	3.672183099	4.602079723	3.909897611	4.072483221	5.401652893	5.805528455	4.325414997	5.835127479	6.038801712	5.944252874	6.175397974	6.12244898	6.739363285	7.191715976	6.923850575	11.26375661	12.88	11.12820513	9.168378378	0.371333333	0.427659574	10.39137255	12.54065217	15.24367347	13.40425532	10.10102041	9.5345	9.451929825	9.4285	10.70245614	13.56697167	15.46079677	15.88075667	16.28739333	21.77351667	18.17412	17.57213667	9.510125	17.18114333
Bangladesh	BGD	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		2.614758861	3.140630452	5.694363742	5.208333333	6.175230717	8.615594453	10.85604433	12.2324159	14.72190692	16.20459432	12.92293765	19.93934085	19.93352316	14.13985325	23.5574147	26.63088203	37.33753149	39.03671233	44.67591577	45.68446442	43.91568778	50.66772847	59.78963582	63.33707131	59.07801573	67.30225958	76.4252301	81.41637832	94.93939077	98.73329103	107.0218434	116.0137066	111.1665883	124.8057802	142.1941932	147.2448247	132.205006	138.4551692	161.8895211	158.1075449	174.5902686	188.6391615	160.2668935	170.6713742	197.7487043	193.1901015	184.4110798	200.0640779	188.8528733	212.9639327	255.764522	260.4432855	254.6001563	279.2202373	298.9664056	289.4022702	303.7127465	318.4668631	316.021087	320.9125
Bulgaria	BGR	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		33.80362183	36.30019259	42.28250362	67.90813397	86.56635469	114.4603937	146.4252291	202.774675	166.4915825	154.2283921	153.8857696	156.5101744	153.6191748	138.4585163	171.6123326	166.9680203	188.3700787	187.9049924	210.4860149	216.8016723	273.0125523	264.6935568	264.6642183	246.3882322	233.4383202	221.5239592	208.2352941	235.15625	209.6808732	177.6192946	122.0452899	58.55275513	50.44031504	56.25293677	31.01550775	45.68165596	46.49348534	47.79411765	34.2666294	42.96653432	57.71041246	113.7684054	147.327415	80.85179596	74.23195714	73.93997446	102.0094003	111.2428756	104.600445	97.05335844	133.0824615	95.86976183	109.1382581	108.8032129	122.0021654	138.0286041	130.6310403	131.8345112	135.8411795	139.2289032
Bahrain	BHR	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS													18	28	40	23			21.5	13		150	84	213.5	255	240	710	155	175	252	301	350	350	300	300	300	300	300	564	216.5	173	150	997.315	1173.311765	1329.753333	1329.753333	1375.606897	964.5428571	2082.733333	1012.154412	1720.20625	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375	1246.64375
"Bahamas, The"	BHS	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS							85.71428571	114.2857143	142.8571429	142.8571429	171.4285714	178.5714286	207.1428571	242.5714286	195	163	222.5714286	257.1428571	171.4285714	171.4285714	171.4285714	171.4285714	157.1428571	171.4285714	157.1428571	62.5	62.5	62.5	62.5	62.5	12.5	37.5	37.5	25	33.33333333	33.33333333	66.66666667	50	50	50	42.85714286	114.2857143											155.0975	134.46	152.44375	188.2675	272.855	328.22625	348.6	348.6	238.16875
Bosnia and Herzegovina	BIH	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																				17.64705882	10	10	49.47368421	44.21052632	41.8	32.27722772	32.69809428	17.65683382	58.1793677	57.59298537	42.19190847	45.08753425	59.18871032	72.78532598	81.52988048	103.3781095	120.7439781	101.6353221	120.0344036	127.8874755	107.9054581	106.4787453	84.7627794	87.47205911	90.12097537
Belarus	BLR	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																	229.2899408	123.197903	86.74698795	83.92169448	124.7191011	138.4615385	149.5070309	127.9521191	131.2571335	131.9215414	135.9864672	135.6257856	146.9178082	167.7011909	231.967509	218.3547744	237.4184191	281.1147186	270.4607046	303.8885874	271.386092	256.3429681	215.2245633	194.1865995	146.6186354	142.446307	156.1857493	153.8802731	180.7282686
Belize	BLZ	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		10	25.5	28.62162162	7.513513514	26.62162162	31.44736842	44.73684211	56.05263158	64.92307692	84.61538462	26.375	40.35	63.63414634	51.2195122	50	21.42857143	14.11627907	37.48837209	36.09302326	42.11111111	31.5	25.69565217	37.30434783	42.89130435	56.30232558	85.68181818	83.36734694	89.62	94.23076923	98.07692308	96.2962963	103.5714286	106.6666667	76.66666667	80.64516129	52.38095238	75	88.09375	95.234375	95.9375	72.30769231	367.7285714	382.3714286	78.65714286	81	89.25714286	60.87142857	49.75714286	121.4383562	58.01333333	234.7066667	140.0705128	389.1102564	374.2176923	382.4942045	413.2660227	333.4345556	238.6815556	459.7794444	438.3992222
Bermuda	BMU	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																	1156.666667	1060	1250	1153.333333	1110	993.3333333	670	740	976.6666667	110	333.3333333	433.3333333	333.3333333	333.3333333			333.3333333	333.3333333	333.3333333	250	250	250	250	250	250	250												339.0666667	316.9	284.6666667	177.2	140	256.6666667	173.3333333	283.3333333
Bolivia	BOL	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.618238022	0.694444444	0.88190184	1.081282625	1.090909091	1.060820368	2.002762431	1.209677419	1.907007204	0.987851662	2.5769956	3.039779682	3.157926103	3.506721216	1.826484018	1.60486995	1.958807588	2.472029835	1.704188482	1.52753474	3.493939394	1.337958375	4.089224768	2.459149546	2.829268293	3.252427184	3.155072464	2.167307692	4.896650718	2.458095238	3.673933649	6.389302326	4.615909091	4.594042553	2.603461538	3.367657993	4.371518106	1.699394755	0.631921824	2.386450382	3.66	4.042727273	3.675583381	5.064263761	6.472937467	3.963636364	5.88731719	4.708860759	5.155365963	7.255527112	8.017058552	7.952557666	9.719647137	9.05660998	9.184925272	7.650538531	9.330712096	7.953571429	6.523519824	10.76801762
Brazil	BRA	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		11.42728966	10.60073685	12.0623	9.821184962	10.83231695	10.506927	16.71174868	22.0148178	22.62603639	35.52141388	38.28013229	53.34096283	52.97260404	55.80441631	58.4736562	69.13722755	81.62839918	76.62131444	79.62140625	88.34603592	56.70819686	55.08843359	45.25221125	66.85638608	60.5467177	75.89682203	76.69935479	75.21611153	69.39167045	67.76087875	73.26612729	78.37075787	101.1386622	117.0032178	98.81587294	116.3653222	133.5841892	132.096898	130.814379	144.5168104	148.5714286	164.9112959	188.7633426	229.8192818	174.3133946	184.5780106	233.1424107	214.677601	148.4863843	202.7967653	251.4273191	230.132479	265.5677821	285.0605357	234.9650836	240.1819509	275.9339023	293.8647622	296.7279816	365.2409135
Barbados	BRB	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		320.375	477.4375	446.5625	571.6875	344.3125	388.375	444.4375	363.25	312.4375	356.25	268.75	285	326.875	406.25	262.5	300	224.4375	368.75	356.25	362.5	375	375	277.5625	291.6875	208.25	237.5	193.75	193.75	187.5	168.75	168.75	168.75	168.75	168.75	200	200	200	187.5	200	200	200	45.85714286	79.71428571	214.2307692	109.0769231	139	133.6153846	135.1538462	77	135.0833333	96.27272727	199.522	133.5684211	80.01111111	121.565	113.8042857	147.8542857	77.98857143	54.39714286	50.59
Brunei Darussalam	BRN	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																					166.6666667	62.66666667	181.6666667	71	281.6666667	298.3333333	420	133.3333333	233.3333333	133.3333333	2100	2200	2250	1500									336	102	151.5	308.5	66	377	112.6666667	103	431.75	117.5	113.5	55.75	177.25	177.25	177.25	177.25	177.25	177.25	177.25
Bhutan	BTN	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS															0.72173913	0.869565217	0.833333333	0.833333333	0.833333333	0.8	0.769230769	0.769230769	0.740740741	1.717241379	1.310344828	0.689655172	0.689655172	0.684931507	0.709219858	0.751879699	0.740740741	0.740740741	0.740740741	0.735294118	0.714285714	0.684931507	0.662251656	0.653594771					6.942307692	6.993630573	7.398734177	7.556886228	7.620621282	9.009537784	11.66	23.96	10.03976143	13.05389222	10.68802395	12.15508982	14.2006986	14.76057884	14.0691	13.27280423	21.28393617	14.31212766	14.31212766
Botswana	BWA	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		2.781954887	2.756892231	2.756892231	4.010025063	5.25	5.3	6.75	3.75	3.75	4.25	4.125	4.364089776	4.738154613	4.890274314	5.985037406	4.987531172	5.236907731	5.236907731	2.729528536	3.473945409	3.473945409	4.444444444	3.209876543	2.962962963	1.108108108	1.665847666	2.200488998	2.200488998	2.173913043	2.142857143	3	3.6	2.857142857	2.53164557	6.620289855	9.684057971	12.66666667	18.46956522	19.16666667	13.14285714	23								48.60443038	83.12741313	29.67901235	54.83508772	80.51785714	57.84328358	66.03293529	46.92161017	33.1837057	58.23058552	51.29111538	51.29111538
Central African Republic	CAF	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.182738095	0.189349112	0.217647059	0.233918129	0.465116279	0.63583815	0.747126437	0.914285714	1.095454545	1.255932203	1.179775281	1.012849162	0.920555556	1.61878453	0.934065934	0.87431694	0.923913043	0.864864865	0.053763441	0.777540107	0.671657754	0.372340426	0.23968254	0.631578947	1.526315789	0.352083333	0.422395833	0.300520833	0.4	0.489583333	0.46875	0.569948187	0.621761658	0.155440415	0.155440415	0.155440415	0.155440415	0.310880829	0.310880829	0.310880829	0.310880829	0.040813472	0.000167539	0.067316062	0.126984456	0.221777202	0.313005181	0.210368809	0.217609861	0.294258451	0.444727778	0.281838889	0.143922222	0.005994444	0.340672222	0.22465	0.186766667	0.186766667	0.187722222	0.187722222
Canada	CAN	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		10.96976236	12.39003655	13.40391841	14.90057204	18.29353733	21.24661261	23.13932842	18.80910181	18.95358277	20.83320347	22.80387886	26.25324373	31.14704215	31.84363281	33.48269152	34.08974883	41.18004866	45.16810952	45.17443023	48.10651181	47.95209227	50.60571877	57.08428913	59.95434455	56.1820291	51.96613675	53.48456389	51.37503918	52.29799614	50.13300457	52.59487478	54.79428585	57.24302422	58.1770808	62.46180978	65.66964612	66.42785779	64.58612703	65.60241993	59.68585097	60.42089968	64.88235873	66.66769277	62.11334451	70.63817649	53.96828144	78.83548503	73.55244901	71.58433545	79.65645979	96.89352286	104.2245236	96.49842522	102.1508204	104.3571391	99.27329354	101.8203537	111.8118377	105.2318361	132.3656336
Central Europe and the Baltics	CEB	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																	72.12060733	72.96513101	74.64496987	74.9975037	82.55065814	83.5114742	78.59464847	74.71688951	82.74656376	90.15305765	92.45486202	103.0878685	99.41962282	108.2512369	110.6416545	123.4356952	114.6166154	101.1530569	115.2949902	118.822675	118.0616869	122.6283239	118.1042832	127.17797	135.9634237	141.0688654	138.5786755	138.7070305	134.0901482
Switzerland	CHE	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		268.8714971	303.0299221	313.5859758	328.0354351	352.6608419	358.490566	368.1893231	379.7609119	405.5555556	414.4422591	423.0876996	380.8126722	437.4310915	397.3727422	388.7232312	412.1786198	420.6542309	468.6917133	488.9891218	475.465757	440.4576183	437.3875032	448.6692015	447.0675944	443.7037037	428.6067805	444.6952596	441.5713575	433.4312286	415.9028982	390.1840491	374.2920463	368.3825323	345.8969466	319.7536712	296.9826562	291.2154031	290.4113235	248.4169508	217.5684932	240.1856375	196.2062209	203.3693782	216.4378844	227.9640571	228.6535627	229.8967044	227.272951	190.8300493	218.3831891	208.9551869	167.6360575	203.4501716	208.4011989	208.9335359	212.110053	199.8879663	187.792803	163.427997	175.1299953
Channel Islands	CHI	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS																																																													
Chile	CHL	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		12.70549451	18.43879781	22.15570652	22.68297297	23.46397849	29.83850267	26.17845745	26.3005291	27.96657895	33.18477704	32.44053644	31.62893553	41.75524135	38.24301541	21.81093449	28.05883754	24.84297924	31.78582164	36.05348419	34.60271116	30.63862845	30.11871508	39.02919501	51.81496403	59.42276423	77.98628503	90.18205462	95.55410265	101.1465798	109.4511064	113.9664804	140.9836066	167.1006944	167.3989455	191.0377358	213.0982368	219.4752775	237.4936837	263.9977778	275.4285714	271.3142857	288.5012121	323.7286667	379.1406667	326.4082759	377.3933333	478.8534073	469.4977134	412.5755725	447.4421715	373.4958238	381.1208106	396.0359053	412.7730375	453.4950495	389.8367696	354.7750702	374.5678483	394.0408733	409.7133835
China	CHN	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		7.040823235	9.598448109	12.11820841	16.32831897	25.41529212	36.46042686	26.56776405	26.68593544	34.54585231	44.04049287	45.83174418	52.91116265	65.28871192	56.17380967	70.0672898	65.77711601	93.75404184	111.7145473	134.7493112	158.1728538	155.332192	160.034163	172.4491212	174.8448721	142.9966483	142.907111	187.637111	208.2530512	206.925085	219.0993003	236.2427815	236.3347955	205.6421988	237.6702677	295.9246137	299.8866591	297.8395236	299.3979452	304.4963326	285.9447796	293.9154878	335.7835718	330.7884048	354.4137137	376.8839996	376.7262553	387.1370326	374.2143394	385.4252049	424.377897	440.8295703	450.7691593	449.0369674	464.7764402	464.5578739	459.0899682	445.2476144	420.3591842	398.0225532	383.316978
Cote d'Ivoire	CIV	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		4.204166667	3.69702381	5.426190476	6.626785714	7.019047619	7.44047619	8.158235294	6.884705882	8.144117647	12.04352941	13.92352941	17.95087719	17.1454023	17.39267606	20.77134986	20.27173913	25.42553191	21.46596859	26.11220779	27.16112532	24.92385787	19.69849246	18.53490659	18.03563668	17.43697479	12.60504202	9.125	11.36363636	14.46280992	15.22633745	15.79591837	14.23076923	18.60785665	21.66666667	22	23.5	37.93103448	31.03448276	25.21428571	23.96428571	24.53571429	31.01892857	29.34535714	27.21892857	17.78035714	22.7725	23.99	18.21172414	15.30758621	32.08586207	19.40275862	26.02111667	31.13828	35.12064571	41.30715143	44.11828	39.26288	30.87347429	51.8755	51.8755
Cameroon	CMR	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.65	0.643564356	1.039215686	1.339805825	1.634615385	2.285714286	2.492830189	3.216635514	2.657222222	3.750925926	2.733944954	2.249724771	2.968807339	3.082545455	2.252252252	2.330178571	6.000705965	6.313176095	5.528653781	5.418612521	5.91641286	5.724873096	7.219796954	8.162944162	8.307952623	7.655986509	8.397976391	6.174242424	4.814814815	3.67003367	3.042016807	3.506711409	3.742281879	5.033557047	5.033557047	5.704697987	6.575503356	6.633053691	8.30704698	7.732214765	8.809060403	9.768624161	8.155201342	11.06275168	7.998993795	9.032198558	8.622840852	6.557437531	7.002850914	9.239032258	11.03596774	10.33573387	10.05833871	9.621035484	13.59095806	10.90362258	13.02838065	12.9503129	12.95041774	13.38532903
"Congo, Dem. Rep."	COD	Fertilizer consumption (kilograms per hectare of arable land)	AG.CON.FERT.ZS		0.0421875	0.14171875	0.16296875	0.239811912	0.220125786	0.298742138	0.423861852	0.53125	0.62305296	0.729813665	0.726429675	0.659538462	1.012269939	1.022900763	1.636822002	1.924734446	1.331316188	1.359516616	1.121212121	1.193353474	1.142857143	1.122138554	1.404962406	1.724137931	1.014925373	0.360119048	0.925373134	0.417910448	1.179104478	0.929535232	1.22754491	0.343283582	0.611940299	1.552835821	1.343283582	0.895522388		0.440895522	0.110746269	0.119402985	0.293283582		0.275223881	0.208208955	0.067761194	0.454925373	0.634776119	0.940296296	0.682425618	0.82378758	0.686965812	0.456245207	0.870809504	1.639210655	1.89385634	1.390881377	1.599106563	1.111288721	1.384847953	2.12180975
